nu,I
1366292448.73714,2.9435429784561274e-25
1366323909.1456,2.943514012469764e-25
1366355370.27846,2.9434839987775105e-25
1366386832.13575,2.943453985085257e-25
1366418294.71748,2.943424002207883e-25
1366449758.02368,2.9433959914827717e-25
1366481222.05435,2.9433659777905184e-25
1366512686.80952,2.943335994913144e-25
1366544152.2892,2.943305981220891e-25
1366575618.4934,2.9432759983435166e-25
1366607085.42215,2.943247001542274e-25
1366638553.07547,2.9432180047410313e-25
1366670021.45336,2.943188021863657e-25
1366701490.55584,2.943156991280393e-25
1366732960.38294,2.9431279944791504e-25
1366764430.93466,2.943098011601776e-25
1366795902.21103,2.943067997909523e-25
1366827374.21206,2.94303900110828e-25
1366858846.93777,2.9430070152637637e-25
1366890320.38817,2.9429770015715104e-25
1366921794.56328,2.942946987879257e-25
1366953269.46312,2.942917005001883e-25
1366984745.08771,2.9428869913096295e-25
1367016221.43706,2.942856977617376e-25
1367047698.51118,2.942826994740002e-25
1367079176.3101,2.942795994971617e-25
1367110654.83384,2.942765981279364e-25
1367142134.08239,2.9427359984019896e-25
1367173614.0558,2.9427059847097362e-25
1367205094.75407,2.9426749849413514e-25
1367236576.17721,2.942645002063977e-25
1367268058.32525,2.942614988371724e-25
1367299541.1982,2.942583988603339e-25
1367331024.79608,2.942552988834954e-25
1367362509.1189,2.942522975142701e-25
1367393994.16669,2.9424930230802057e-25
1367425479.93945,2.9424619924969417e-25
1367456966.43721,2.942431023543436e-25
1367488453.65998,2.9424010098511826e-25
1367519941.60778,2.942370010082798e-25
1367551430.28063,2.942341013281555e-25
1367582919.67853,2.94231001351317e-25
1367614409.80152,2.9422790137447854e-25
1367645900.6496,2.9422500169435427e-25
1367677392.22279,2.942220989327421e-25
1367708884.52111,2.9421910064500467e-25
1367740377.54458,2.942164012615946e-25
1367771871.2932,2.9421350158147034e-25
1367803365.76701,2.942109994132866e-25
1367834860.96601,2.9420850032659076e-25
1367866356.89023,2.9420620153660914e-25
1367897853.53967,2.9420399827275276e-25
1367929350.91436,2.9420220176530063e-25
1367960849.01431,2.942007996883011e-25
1367992347.83954,2.941996995971169e-25
1368023847.39006,2.941992003960753e-25
1368055347.6659,2.9419929900368845e-25
1368086848.66707,2.942001001905453e-25
1368118350.39358,2.942018011718722e-25
1368149852.84546,2.942043988661812e-25
1368181356.02271,2.942078994364481e-25
1368212859.92536,2.9421279900222663e-25
1368244364.55342,2.942189989559036e-25
1368275869.90691,2.9422650237896693e-25
1368307375.98585,2.9423559893128026e-25
1368338882.79025,2.942462023311821e-25
1368370390.32013,2.942585991570481e-25
1368401898.57551,2.9427280173483e-25
1368433407.55639,2.9428870221245086e-25
1368464917.26281,2.9430620198229754e-25
1368496427.69477,2.943255999486974e-25
1368527938.8523,2.943463999920968e-25
1368559450.73541,2.9436850042339463e-25
1368590963.34411,2.9439199985020406e-25
1368622476.67842,2.9441659936819773e-25
1368653990.73837,2.9444200007304827e-25
1368685505.52396,2.9446799858655354e-25
1368717021.03522,2.94494302167362e-25
1368748537.27215,2.945204978960936e-25
1368780054.23478,2.9454649949108676e-25
1368811571.92312,2.9457219910026467e-25
1368843090.33719,2.945969003073594e-25
1368874609.47702,2.946207017199841e-25
1368906129.3426,2.9464319966322247e-25
1368937649.93397,2.946644003000503e-25
1368969171.25113,2.9468399856316437e-25
1369000693.2941,2.947020992231537e-25
1369032216.06291,2.947183972127151e-25
1369063739.55756,2.9473309899153855e-25
1369095263.77807,2.9474589949232093e-25
1369126788.72447,2.9475719930849064e-25
1369158314.39676,2.9476689983243453e-25
1369189840.79497,2.9477479768595047e-25
1369221367.9191,2.9478149992215694e-25
1369252895.76919,2.9478689868897704e-25
1369284424.34524,2.9479090154177346e-25
1369315953.64727,2.947941001262251e-25
1369347483.67529,2.947962017009804e-25
1369379014.42933,2.947974003997778e-25
1369410545.9094,2.9479800128992045e-25
1369442078.11552,2.947978996008194e-25
1369473611.04771,2.947974003997778e-25
1369505144.70597,2.9479640199769463e-25
1369536679.09033,2.947949999206951e-25
1369568214.20081,2.947934006284693e-25
1369599750.03741,2.947914993504282e-25
1369631286.60017,2.9478929916805973e-25
1369662823.88909,2.947870003780781e-25
1369694361.90419,2.9478469850660858e-25
1369725900.64548,2.947823011090138e-25
1369757440.113,2.947797003332169e-25
1369788980.30674,2.9477700094980685e-25
1369820521.22674,2.94774501863111e-25
1369852062.87299,2.9477179939821305e-25
1369883605.24554,2.9476899832570193e-25
1369915148.34437,2.9476639754990503e-25
1369946692.16952,2.947637012479829e-25
1369978236.72101,2.9476090017547177e-25
1370009781.99884,2.9475809910296065e-25
1370041328.00304,2.947553997195506e-25
1370072874.73362,2.947525986470395e-25
1370104422.1906,2.9474990234511734e-25
1370135970.37399,2.947471998802194e-25
1370167519.28382,2.947443002000951e-25
1370199068.9201,2.94741499127584e-25
1370230619.28284,2.9473879974417394e-25
1370262170.37206,2.947359986716628e-25
1370293722.18778,2.947333023697407e-25
1370325274.73002,2.9473050129722956e-25
1370356827.99879,2.947275985356174e-25
1370388381.99411,2.9472489915220733e-25
1370419936.71599,2.9472199947208306e-25
1370451492.16446,2.94719300088673e-25
1370483048.33953,2.9471640040854874e-25
1370514605.24122,2.9471360241752553e-25
1370546162.86953,2.9471089995262757e-25
1370577721.2245,2.9470790166489015e-25
1370609280.30613,2.947051991999922e-25
1370640840.11445,2.947022995198679e-25
1370672400.64946,2.946994984473568e-25
1370703961.91119,2.946967004563336e-25
1370735523.89966,2.946938007762093e-25
1370767086.61488,2.946909997036982e-25
1370798650.05686,2.9468810002357393e-25
1370830214.22562,2.946854006401639e-25
1370861779.12119,2.946825009600396e-25
1370893344.74357,2.9467960127991534e-25
1370924911.09279,2.9467680020740422e-25
1370956478.16886,2.9467389744579204e-25
1370988045.97179,2.9467109945476884e-25
1371019614.50161,2.9466830146374563e-25
1371051183.75833,2.9466540178362136e-25
1371082753.74197,2.946624990220092e-25
1371114324.45253,2.946595993418849e-25
1371145895.89005,2.9465670274324856e-25
1371177468.05454,2.9465379998163637e-25
1371209040.94601,2.946511005982263e-25
1371240614.56449,2.9464800062138784e-25
1371272188.90998,2.946451995488767e-25
1371303763.98251,2.9464229986875245e-25
1371335339.78208,2.946394001886282e-25
1371366916.30873,2.946365005085039e-25
1371398493.56246,2.9463359774689173e-25
1371430071.54329,2.9463079975586852e-25
1371461650.25124,2.946278014681311e-25
1371493229.68633,2.946248987065189e-25
1371524809.84857,2.9462199902639465e-25
1371556390.73797,2.9461900073865723e-25
1371587972.35456,2.9461610105853296e-25
1371619554.69835,2.9461329998602184e-25
1371651137.76937,2.946103016982844e-25
1371682721.56761,2.946073003290591e-25
1371714306.09311,2.946045023380359e-25
1371745891.34588,2.9460149788732264e-25
1371777477.32593,2.9459859820719837e-25
1371809064.03329,2.9459559991946095e-25
1371840651.46796,2.945927002393367e-25
1371872239.62997,2.945897974777245e-25
1371903828.51934,2.94586802271475e-25
