redshift,absline,emiline
34.5094014871594,3.0716386725842e-25,1.61222191156346e-41
34.5012260865707,3.06994736215808e-25,1.61112101191212e-41
34.4930525682209,3.06825599373616e-25,1.61002036576989e-41
34.4848809316766,3.06656456736875e-25,1.60891997307932e-41
34.4767111765045,3.06487308309108e-25,1.60781983378163e-41
34.4685433022715,3.06318154094413e-25,1.60671994781804e-41
34.4603773085446,3.06148994097567e-25,1.60562031513103e-41
34.4522131948907,3.05979828322063e-25,1.60452093566194e-41
34.4440509608771,3.05810656772577e-25,1.60342180935242e-41
34.4358906060709,3.05641479453339e-25,1.60232293614416e-41
34.4277321300396,3.05472296368068e-25,1.60122431597854e-41
34.4195755323505,3.05303107521432e-25,1.60012594879808e-41
34.4114208125713,3.0513391291742e-25,1.59902783454413e-41
34.4032679702694,3.04964712560311e-25,1.59792997315808e-41
34.3951170050129,3.0479550645403e-25,1.59683236458242e-41
34.3869679163693,3.04626294603214e-25,1.59573500875867e-41
34.3788207039067,3.04457077011639e-25,1.59463790562856e-41
34.3706753671932,3.04287853683729e-25,1.5935410551334e-41
34.3625319057969,3.04118624623515e-25,1.59244445721599e-41
34.354390319286,3.03949389835574e-25,1.59134811181787e-41
34.3462506072288,3.03780149323616e-25,1.59025201888015e-41
34.3381127691938,3.03610903092138e-25,1.58915617834576e-41
34.3299768047496,3.03441651145375e-25,1.58806059015624e-41
34.3218427134648,3.03272393487195e-25,1.58696525425326e-41
34.3137104949081,3.03103130121865e-25,1.58587017057886e-41
34.3055801486483,3.02933861053949e-25,1.58477533907459e-41
34.2974516742544,3.02764586287453e-25,1.58368075968316e-41
34.2893250712955,3.02595305826372e-25,1.58258643234608e-41
34.2812003393406,3.02426019674995e-25,1.58149235700496e-41
34.2730774779591,3.02256727837851e-25,1.58039853360265e-41
34.2649564867201,3.02087430318882e-25,1.5793049620807e-41
34.2568373651933,3.01918127122137e-25,1.57821164238094e-41
34.248720112948,3.01748818252067e-25,1.57711857444557e-41
34.240604729554,3.01579503712799e-25,1.57602575821626e-41
34.232491214581,3.01410183508386e-25,1.57493319363574e-41
34.2243795675987,3.01240857643328e-25,1.57384088064564e-41
34.2162697881772,3.01071526121442e-25,1.57274881918778e-41
34.2081618758863,3.00902188947317e-25,1.57165700920512e-41
34.2000558302964,3.00732846125116e-25,1.57056545063898e-41
34.1919516509776,3.00563497658991e-25,1.56947414343182e-41
34.1838493375002,3.00394143552693e-25,1.56838308752514e-41
34.1757488894347,3.00224783811392e-25,1.56729228286209e-41
34.1676503063516,3.00055418438531e-25,1.56620172938433e-41
34.1595535878214,2.99886047438154e-25,1.56511142703346e-41
