z,difference
5.247978479784798,0.2844249590173211
5.248276482764828,0.2833760761996936
5.248574485744857,0.28235759694450985
5.248872488724888,0.28136883627562687
5.249170491704917,0.28040934452204397
5.2494684946849475,0.2794786650510679
5.249766497664977,0.27857633362572387
5.250064500645006,0.2777018820123507
5.250362503625037,0.2768548338968092
5.250660506605066,0.27603470764611143
5.250958509585096,0.2752410205489267
5.251256512565126,0.27447328439495927
5.2515545155451555,0.27373100611886575
5.251852518525186,0.27301369344451026
5.252150521505215,0.2723208506139595
5.252448524485245,0.2716520342809155
5.252746527465275,0.27100693496318046
5.253044530445305,0.270384799928704
5.253342533425334,0.2697851319623237
5.253640536405364,0.26920743273228354
5.253938539385394,0.26865120591245706
5.254236542365424,0.26811595979722486
5.254534545345454,0.26760119794846793
5.254832548325483,0.2671064268193704
