freq,IL-IC
39.5023035564318,-3.5831231192528034e-24
39.5032131410568,-3.582955341681945e-24
39.5041227466261,-3.582787538397853e-24
39.50503237314,-3.5826197077471235e-24
39.5059420205991,-3.582451847879247e-24
39.5068516890038,-3.5822839574863216e-24
39.5077613783546,-3.582116036292999e-24
39.50867108865209,-3.581948085147516e-24
39.5095808198966,-3.581780105746346e-24
39.5104905720888,-3.581612099907086e-24
39.5114003452289,-3.581444068955693e-24
39.5123101393176,-3.581276013159804e-24
39.5132199543554,-3.5811079316521855e-24
39.5141297903427,-3.58093982278188e-24
39.51503964728,-3.58077168468239e-24
39.515949525167706,-3.5806035160307675e-24
39.516859424006405,-3.5804353166086526e-24
39.5177693437965,-3.5802670872131244e-24
39.5186792845385,-3.580098829551753e-24
39.5195892462329,-3.579930545458498e-24
39.5204992288802,-3.579762236228848e-24
39.521409232481005,-3.579593902158463e-24
39.5223192570355,-3.579425542399483e-24
39.5232293025444,-3.579257155213116e-24
39.524139369008,-3.579088738801515e-24
39.525049456426906,-3.578920291871071e-24
39.5259595648017,-3.578751814125936e-24
39.5268696941327,-3.5785833064322146e-24
39.5277798444205,-3.5784147704576034e-24
39.528690015665504,-3.578246208052237e-24
39.52960020786821,-3.578077620480195e-24
39.5305104210291,-3.577909008077198e-24
39.5314206551487,-3.577740369955513e-24
39.5323309102273,-3.5775717044275066e-24
39.5332411862657,-3.5774030096814126e-24
39.5341514832642,-3.5772342843893925e-24
39.5350618012232,-3.577065528277603e-24
39.5359721401434,-3.576896742215723e-24
39.5368825000251,-3.576727927865053e-24
39.5377928808689,-3.576559087079867e-24
39.5387032826753,-3.576390221150198e-24
39.539613705444594,-3.576221330348762e-24
39.5405241491774,-3.5760524137936545e-24
39.541434613874195,-3.575883469875484e-24
39.5423450995355,-3.575714496707064e-24
39.5432556061618,-3.575545492996856e-24
39.5441661337535,-3.57537645847365e-24
39.545076682311,-3.5752073939730806e-24
39.545987251835,-3.575038301200838e-24
39.546897842325905,-3.57486918196154e-24
39.5478084537841,-3.574700037580958e-24
39.5487190862102,-3.574530868317699e-24
39.549629739604505,-3.5743616733223985e-24
39.550540413967695,-3.574192450924538e-24
39.5514511093003,-3.574023199287713e-24
39.5523618256025,-3.5738539171075955e-24
39.5532725628751,-3.573684604089277e-24
39.5541833211183,-3.573515261121807e-24
39.555094100332795,-3.5733458898463646e-24
39.556004900519,-3.573176492110262e-24
39.5569157216775,-3.5730070692306176e-24
39.557826563808504,-3.5728376214440345e-24
39.5587374269127,-3.572668147952493e-24
39.5596483109906,-3.572498647031685e-24
39.5605592160426,-3.572329116869655e-24
39.5614701420692,-3.572159556132359e-24
39.562381089070904,-3.57198996457567e-24
39.563292057048095,-3.571820343061554e-24
39.5642030460015,-3.57165069324981e-24
39.565114055931296,-3.571481016954084e-24
39.5660250868382,-3.5713113155089854e-24
39.566936138722504,-3.5711415891644716e-24
39.567847211584905,-3.5709718370911136e-24
39.5687583054257,-3.5708020575796485e-24
39.5696694202456,-3.5706322488207556e-24
39.570580556044696,-3.570462409511987e-24
39.5714917128238,-3.570292539352416e-24
39.572402890583405,-3.570122639232786e-24
39.573314089323794,-3.569952710801797e-24
39.574225309045595,-3.569782755895102e-24
39.5751365497492,-3.569612775847686e-24
39.5760478114352,-3.569442770876593e-24
39.576959094104,-3.5692727401634895e-24
39.5778703977561,-3.569102682018674e-24
39.578781722392,-3.5689325945976545e-24
39.579693068012105,-3.568762476641994e-24
39.580604434617,-3.56859232785321e-24
39.5815158222071,-3.568422149061861e-24
39.5824272307829,-3.56825194196837e-24
39.583338660345,-3.568081708404062e-24
39.5842501108937,-3.5679114496488164e-24
39.5851615824297,-3.567741166006004e-24
39.5860730749532,-3.567570856602375e-24
39.5869845884649,-3.5674005197619545e-24
39.5878961229651,-3.567230153654734e-24
39.5888076784545,-3.567059756972436e-24
39.5897192549335,-3.566889329469616e-24
39.5906308524025,-3.566718871967992e-24
39.591542470862095,-3.566548386149932e-24
39.5924541103127,-3.5663778738520275e-24
39.5933657707548,-3.566207336387071e-24
39.594277452189,-3.566036773985648e-24
39.5951891546156,-3.565866185412266e-24
39.5961008780352,-3.565695570248638e-24
39.5970126224482,-3.565524925395596e-24
39.597924387855095,-3.565354249957508e-24
39.5988361742566,-3.565183543682347e-24
