nu,I
1362365596.86076,2.372590589721454e-23
1362396966.84906,2.5818641499983258e-23
1362428337.55969,2.7829378499898566e-23
1362459708.99268,2.97121391991315e-23
1362491081.14802,3.142140650217711e-23
1362522454.02574,3.291393959940584e-23
1362553827.62585,3.41505888987319e-23
1362585201.94838,3.5098006599611993e-23
1362616576.99334,3.573014699863498e-23
1362647952.76074,3.602946180176404e-23
1362679329.2506,3.598771710073761e-23
1362710706.46294,3.5606374701035387e-23
1362742084.39779,3.4896516600772594e-23
1362773463.05514,3.387831629981911e-23
1362804842.43501,3.258009359960506e-23
1362836222.53744,3.103701249883362e-23
1362867603.36242,2.9289509899654347e-23
1362898984.90998,2.738154750114166e-23
1362930367.18015,2.53587956997426e-23
1362961750.17292,2.3266851401499017e-23
1362993133.88832,2.114958490239092e-23
1363024518.32636,1.9047696100316606e-23
1363055903.48707,1.6997539899693702e-23
1363087289.37045,1.5030260297948743e-23
1363118675.97653,1.3171246598426991e-23
1363150063.30532,1.1439907799255037e-23
1363181451.35684,9.849738099610808e-24
1363212840.13111,8.408635500921667e-24
1363244229.62814,7.11941950299644e-24
1363275619.84794,5.980496800940318e-24
1363307010.79054,4.9866153005947836e-24
1363338402.45595,4.129653999415329e-24
1363369794.84419,3.399402002022802e-24
1363401187.95527,2.7842900993298494e-24
1363432581.78922,2.2720422998558934e-24
1363463976.34604,1.8502332000160158e-24
1363495371.62576,1.5067394005295053e-24
1363526767.62839,1.2300830984849129e-24
1363558164.35394,1.0096755002331182e-24
1363589561.80244,8.359686000743875e-25
1363620959.97391,7.005275983057705e-25
1363652358.86835,5.960419021329424e-25
1363683758.48579,5.162846996302993e-25
1363715158.82623,4.560406002418317e-25
1363746559.88971,4.1100899932023514e-25
1363777961.67622,3.776971011925908e-25
1363809364.18581,3.5330850180196705e-25
1363840767.41847,3.3563599915043467e-25
1363872171.37422,3.229609026000862e-25
1363903576.05308,3.1396240015059714e-25
1363934981.45508,3.0763879868970817e-25
1363966387.58021,3.0323969736281574e-25
1363997794.42851,3.002099014115035e-25
1364029201.99998,2.9814400104173403e-25
1364060610.29465,2.967491008275649e-25
1364092019.31253,2.958164022296333e-25
1364123429.05364,2.951985977998409e-25
1364154839.51799,2.947932003317551e-25
1364186250.7056,2.9452960061138273e-25
1364217662.6165,2.943592991004923e-25
1364249075.25068,2.9425019902100267e-25
1364280488.60818,2.9418040023833017e-25
1364311902.689,2.9413590047140714e-25
1364343317.49317,2.941073997897181e-25
1364374733.0207,2.9408889853630035e-25
1364406149.27161,2.9407659723655956e-25
1364437566.24591,2.9406809849290097e-25
1364468983.94362,2.94061898539224e-25
1364500402.36476,2.9405710066254654e-25
1364531821.50934,2.940531994988512e-25
1364563241.37739,2.940496003209711e-25
1364594661.96891,2.940464017365195e-25
1364626083.28392,2.9404340036729415e-25
1364657505.32245,2.940405006871699e-25
1364688928.08451,2.940376010070456e-25
1364720351.5701,2.9403470132692134e-25
1364751775.77926,2.94031699957696e-25
1364783200.712,2.940290991818991e-25
1364814626.36833,2.940261008941617e-25
1364846052.74827,2.940232012140374e-25
1364877479.85184,2.940204001415263e-25
1364908907.67906,2.9401750046140203e-25
1364940336.22993,2.9401459769978985e-25
1364971765.50448,2.940117011011535e-25
1365003195.50273,2.9400890002864238e-25
1365034626.22468,2.940060003485181e-25
1365066057.67037,2.94003199276007e-25
1365097489.8398,2.940002995958827e-25
1365128922.73299,2.9399739991575845e-25
1365160356.34995,2.9399460192473524e-25
1365191790.69071,2.93991597474022e-25
1365223225.75528,2.9398870087538564e-25
1365254661.54368,2.9398579811377346e-25
1365286098.05593,2.9398300012275026e-25
1365317535.29203,2.9398000183501283e-25
1365348973.25201,2.9397709907340065e-25
1365380411.93588,2.939741993932764e-25
1365411851.34368,2.939712997131521e-25
1365443291.47539,2.9396840003302785e-25
1365474732.33104,2.9396549727141566e-25
1365506173.91066,2.939626006727793e-25
1365537616.21426,2.9395970099265504e-25
1365569059.24185,2.939566996234297e-25
1365600502.99345,2.9395379994330543e-25
1365631947.46908,2.9395090026318117e-25
1365663392.66875,2.939480005830569e-25
1365694838.59249,2.9394499921383156e-25
1365726285.2403,2.9394200092609414e-25
1365757732.6122,2.939389995568688e-25
1365789180.70821,2.9393609987674454e-25
1365820629.52836,2.9393320019662027e-25
1365852079.07264,2.9393019882739494e-25
1365883529.34109,2.939273022287586e-25
1365914980.33372,2.9392430085953324e-25
1365946432.05054,2.939212994903079e-25
1365977884.49157,2.9391839981018364e-25
1366009337.65683,2.939154015224462e-25
1366040791.54633,2.939124001532209e-25
1366072246.16009,2.9390939878399555e-25
1366103701.49813,2.9390640049625813e-25
1366135157.56047,2.939033991270328e-25
1366166614.34712,2.9390040083929538e-25
1366198071.85809,2.938975011591711e-25
1366229530.09341,2.938944011823326e-25
1366260989.05309,2.938914028945952e-25
1366292448.73715,2.9388839844388196e-25
1366323909.1456,2.9388540015614453e-25
1366355370.27846,2.938823987869192e-25
1366386832.13575,2.9387939741769387e-25
1366418294.71748,2.9387639912995644e-25
1366449758.02368,2.938733977607311e-25
1366481222.05435,2.938703994729937e-25
1366512686.80952,2.938672994961552e-25
1366544152.2892,2.9386429812692987e-25
1366575618.49341,2.9386130292068036e-25
1366607085.42216,2.9385819986235396e-25
1366638553.07547,2.938553001822297e-25
1366670021.45336,2.9385210159777806e-25
1366701490.55584,2.938491002285527e-25
1366732960.38294,2.938460988593274e-25
1366764430.93466,2.938429988824889e-25
1366795902.21103,2.938400005947515e-25
1366827374.21206,2.9383679892881193e-25
1366858846.93777,2.9383389924868766e-25
1366890320.38817,2.9383070066423602e-25
1366921794.56328,2.9382780098411176e-25
1366953269.46312,2.9382480269637433e-25
1366984745.08771,2.93821801327149e-25
1367016221.43705,2.9381879995792367e-25
1367047698.51118,2.9381579858869833e-25
1367079176.3101,2.9381300059767513e-25
1367110654.83383,2.9381010091755086e-25
1367142134.08239,2.938074015341408e-25
1367173614.0558,2.9380469906924284e-25
1367205094.75407,2.9380229859016016e-25
1367236576.17721,2.937999011925654e-25
1367268058.32525,2.9379779961781007e-25
1367299541.1982,2.9379600002887003e-25
1367331024.79608,2.937946996409716e-25
1367362509.1189,2.9379359954978735e-25
1367393994.16669,2.9379310034874576e-25
1367425479.93945,2.937931989563589e-25
1367456966.43721,2.9379390153560263e-25
1367488453.65998,2.937955994354416e-25
1367519941.60778,2.937982002112385e-25
1367551430.28063,2.938017007815054e-25
1367582919.67853,2.9380660034728394e-25
1367614409.80152,2.9381269861185985e-25
1367645900.6496,2.938202975610484e-25
1367677392.22279,2.938293016687244e-25
1367708884.52111,2.938400005947515e-25
1367740377.54457,2.9385229881300436e-25
1367771871.29321,2.9386650139078625e-25
1367803365.76701,2.938823987869192e-25
1367834860.96601,2.938999016382538e-25
1367866356.89023,2.939191979155526e-25
1367897853.53967,2.939400010404399e-25
1367929350.91436,2.939621014717377e-25
1367960849.01431,2.939856995061603e-25
1367992347.83954,2.940101973350529e-25
1368023847.39006,2.940354994322903e-25
1368055347.66591,2.940615010272835e-25
1368086848.66707,2.9408769983750297e-25
1368118350.39358,2.9411389864772246e-25
1368149852.84546,2.9413990024271564e-25
1368181356.02271,2.9416539955517933e-25
1368212859.92536,2.9419010076227406e-25
1368244364.55342,2.9421389909341086e-25
1368275869.90691,2.9423640011813713e-25
1368307375.98585,2.9425760075496494e-25
1368338882.79025,2.9427719901807903e-25
1368370390.32013,2.942951979889673e-25
1368401898.57551,2.9431160074911765e-25
1368433407.55639,2.943261022312269e-25
1368464917.26281,2.9433900133962244e-25
1368496427.69477,2.9435030115579215e-25
1368527938.8523,2.9435989999063497e-25
1368559450.73541,2.9436780092563883e-25
1368590963.34411,2.9437460176945845e-25
